CONGLOME,VIVIENDA,ID,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345_TIEMPO,P345_MESES,P345_DIAS,P346,P347,P348,P349,P350,P351,P352
7443,165,9.0,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,Dias,,1.0,2.0,,,,,,
7446,10,8.0,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,1.0,,2.0,,,,,,
7446,126,5.0,2,,,,,,,,,Dias,,16.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
7446,127,8.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7446,127,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
7446,128,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
7460,60,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Meses,1.0,,2.0,,,,,,
7511,56,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,17.0,2.0,,,,,,
7511,187,4.0,2,,,,,,,,,Dias,,9.0,2.0,,,,,,
7529,60,6.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
7529,80,5.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
7531,55,8.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,11.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0
7531,55,11.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
7533,152,99.0,2,,,,,,,,,Dias,,11.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
7541,23,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Meses,1.0,,2.0,,,,,,
7541,123,99.0,2,,,,,,,,,Dias,,15.0,2.0,,,,,,
7546,36,5.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
7549,67,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
7554,90,8.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7564,29,99.0,2,,,,,,,,,Meses,5.0,,2.0,,,,,,
7567,59,6.0,2,,,,,,,,,Dias,,8.0,2.0,,,,,,
7567,59,99.0,2,,,,,,,,,Dias,,23.0,2.0,,,,,,
7567,87,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,11.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0
7571,152,4.0,2,,,,,,,,,Dias,,9.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
7574,69,6.0,2,,,,,,,,,Meses,14.0,,2.0,,,,,,
7577,153,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,5.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0
7579,1,4.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
